drink_name,drink_price,restaurant_address,restaurant_name,restaurant_tel,restaurant_url
"黒ラベル,アサヒスーパードライ（中瓶）/キリン一番搾り（中瓶）/赤星（中瓶）,オールフリー（瓶）,シャンディーガフ/レッドアイ,ハイボール（デュワーズ）/ハイボール（角）,ジンジャーハイ/コークハイ/トマトハイボール/ハッスルハイボール,プレーン,瀬戸内産レモンサワー/青森県産つがる林檎サワー,沖縄県産シークァーサーサワー/男梅サワー,ハッスルサワー/カルピスサワー,いちごサワー,神山生絞りすだちサワー/ピンクグレープフルーツサワー,沖縄県石垣島産パインサワー/ドラゴンフルーツ,シャインマスカット,スイカサワー,[青森県] 陸奥八仙　純米吟醸　黒ラベル (グラス),[秋田県] 山本　純米吟醸　ピュアブラック  (グラス),[秋田県] 一白水成　純米吟醸　美山錦  (グラス),[山形県] 上喜元　純米吟醸　超辛  (グラス),[山形県] 楯野川　純米大吟醸　本流辛口  (グラス),[宮城県] 伯楽星　純米大吟醸  (グラス),[宮城県] 戦勝政宗　純米吟醸　プラチナ  (グラス),[宮城県] 墨廼江　特別純米  (グラス),[福島県] 冩楽　純米吟醸  (グラス),[福島県] 飛露喜　特別純米　生詰  (グラス),[栃木県] 鳳凰美田　純米大吟醸　五割磨き  (グラス),[茨城県] 来福　純米吟醸　超辛口  (グラス),[群馬県] 浅間山　まっしろ　純米　にごり　火入れ  (グラス),[新潟県] 八海山　純米大吟醸  (グラス),[長野県] 明鏡止水　純米吟醸  (グラス),[福井県] 黒龍　大吟醸  (グラス),[福井県] 九頭龍　大吟醸  (グラス),[静岡県] 磯自慢　特別本醸造・特選  (グラス),[愛知県] 醸し人九平次　純米大吟醸　山田  (グラス),[兵庫県] 仙介　特別純米  (グラス),[京都府] 澤屋まつもと　守破離　純大　山田錦  (グラス),[三重県] 作　純米吟醸　雅乃智  (グラス),[奈良県] みむろ杉　純米大吟醸　山田錦  (グラス),[奈良県] 篠峯　辛々　純米吟醸　雄町  (グラス),[和歌山県] 紀土　KID　純米大吟醸　ピンクラベル  (グラス),[広島県] 宝剣　純米吟醸  (グラス),[広島県] 雨後の月　超特選　大吟醸　月光  (グラス),[広島県] 富久長　海風土　シーフード　白麹純米酒  (グラス),[山口県] 東洋美人　純米吟醸　５０  (グラス),[山口県] 雁木　ノ弍　純米吟醸　無濾過　生原酒  (グラス),[山口県] 獺祭　純米大吟醸　磨き３９  (グラス),[山口県] 獺祭　純米大吟醸　磨き４５  (グラス),[高知県] 美丈夫　純米吟醸　純麗　たまラベル  (グラス),[大分県] ちえびじん　純米  (グラス),[福岡県] 庭のうぐいす　特別純米　鶯ラベル  (グラス),[福岡県] 三井の寿　純米吟醸　+１４　大辛口  (グラス),特選松竹梅　豪快　純米,獺祭　純米大吟醸　発泡にごり４５ [360ml],獺祭　純米大吟醸　発泡にごり４５ [720ml],美丈夫　しゅわっ!!　発泡吟醸 [500ml],[大分県] 二階堂 ,[宮崎県] 中々 ,[大分県] 兼八 ,[宮崎県] 黒霧島 ,[鹿児島県] 三岳 ,[鹿児島県] 赤兎馬 ,庭の鶯　特選梅酒　鶯とろ,紀州のブルーベリー梅酒,子宝　ラ・フランス,鳳凰美田　完熟もも,鳳凰美田　みかん,カシスオレンジ/カシスソーダ,ファジーネーブル/ピーチウーロン,バカルディ　モヒート,赤玉パンチ,アリーチェ　サレントIGP　ヴェルデカ（白）,ブルゴーニュ・アリゴテ　レ・ポテ（白）,シャブリ　プルミエ　クリュ　ヴォクパン（白）,オルトネーゼ　サンジョベーゼ　メルロ　プーリアIGT（赤）,ブリス　カベルネ　ソーヴィニヨン（赤）,バローロ　DOCG、サルティラーノ　フィリ（赤）,ピガル　ブルット,ヴーヴクリコ　イエローラベル,モエ・エ・シャンドン　ロゼ,ドンペリニヨン　白,烏龍茶/緑茶,コーラ/ジンジャーエール/カルピス/オレンジジュース/アップルジュース,烏龍茶/緑茶/コーラ/ジンジャーエール/カルピス/オレンジジュース/アップルジュース","550,660,550,462,418,462,352,418,418,418,880,660,770,1100,770,605,550,495,495,550,825,550,440,605,495,550,550,440,715,550,825,825,550,715,550,660,660,715,550,550,550,825,550,440,605,825,550,495,440,495,550,要確認,3300,5500,2750,418,462,550,418,462,550,550,550,550,550,550,418,418,418,418,660,880,1320,550,770,1210,660,13200,13200,44000,330,418,無料",大阪府大阪市北区堂山町4-12 白馬車ビル３F,海鮮酒場　うおぷく　梅田店,050-5861-6095,https://www.hotpepper.jp/strJ001292956/
"ステッカーを提示で★マークは100円引き！飲み放題の場合は30分延長！,ザ・モルツ <生小>,ザ・モルツ <生中>,アサヒスーパードライ <中瓶>,赤星 <中瓶>,オールフリー <小瓶>,シャンディガフ,ジムビームハイボール,角ハイボール,ジンジャーハイボール,コークハイボール,刺激ハイボール,[1杯目] 300ccタンブラー [2杯目] 400ccジョッキ [3杯目以降] 500ccジョッキ,健康サワー (青汁),とりあえずレモンサワー (こだわりレモン),甘い酸っぱいサワー (瀬戸内産レモン),懐かしのサワー (ミックスジュース),意外と美味しいプレーンサワー,青森サワー (林檎),島んちぬサワー (シークワーサー),男気サワー (男梅),海鮮に合うサワー (紅生姜),カラダにピースサワー (カルピス),可愛いサワー (柚子蜂蜜),おしゃれサワー (ライム),美人サワー (白桃),イケメンサワー (巨峰),初恋サワー (いちご),メルヘンサワー (メロン),南国サワー (マンゴー),エナジーサワー (デカビタC),コーラフロート酎ハイ,キャロット酎ハイ,メロンフロート酎ハイ,風呂上がり酎ハイ (ラムネ),アイスの実サワー　各種,玉露入り緑茶っぱハイ,ジャスミン茶っぱハイ,ほうじ茶っぱハイ,紅茶っぱハイ,コーン茶っぱハイ,烏龍茶っぱハイ,おいハイ,二階堂 <大分県>,黒霧島 <宮崎県>,赤兎馬 <鹿児島県>,中々 <宮崎県>,JJ (ジャスミン焼酎×ジャスミン茶),JR (ジャスミン焼酎×緑茶),庭の鶯 特選梅酒 鶯とろ,紀州のブルーベリー梅酒,鳳凰美田 完熟もも,鳳凰美田 みかん,翠ジンソーダ,カシスオレンジ,カシスウーロン,カシスソーダ,赤玉パンチ,ファジーネーブル,レゲエパンチ,ピーチフィズ,BIGソフトドリンク　各種,レトロソフトドリンク　各種","-,429,539,605,605,550,539,429,495,495,495,495,-,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,495,495,495,495,550,539,539,539,539,539,539,220,495,495,605,605,495,495,550,550,550,550,462,462,462,462,462,462,462,462,385,440",大阪府大阪市北区曽根崎２-１３-１７,炉端とホルモンと串焼きとおでん とっとっと　梅田お初天神店,050-5499-0865,https://www.hotpepper.jp/strJ003365791/
"ザ・モルツ,マッコリビール、シャンディガフ、ディーゼル、ダブルカルチャード,ハイボール,ジンジャーハイボール、コークハイボール,レモンハイボール、巨峰ハイボール、ライムハイボール、カルピスハイボール、ライチハイボール,マスカット、すもも、グレープフルーツ、ストロベリー,桃、ざくろ、ブルーベリー、マンゴー、ゆず,マスカット、すもも、グレープフルーツ、ストロベリー,桃、ざくろ、ブルーベリー、マンゴー、ゆず,ザクロ×ミックスベリー、パイン×パイン、マスカット×ぶどう、オレンジ×オレンジ、マンゴー×マンゴー,オレンジ,マンゴー,ソウルマッコリ,巨峰マッコリ、ライチマッコリ、カルピスマッコリ、カシスマッコリ、ピーチマッコリ,カシスオレンジ、カシスソーダ、カシスウーロン、カシスコーラ,ピーチフィズ、ファジーネーブル、レゲエパンチ,ライチオレンジ、ライチソーダ、ライチウーロン、ライチコーラ,レモンサワー、ライムサワー、巨峰サワー、カルピスサワー、ライチサワー,プラムコーラ、プラムオレンジ、プラムバック,二階堂,黒霧島,ウーロン茶、コーラ、ジンジャーエール、オレンジジュース、カルピス、カルピスソーダ,チルソンソーダ、白ブドウボンボン、梨ボンボン、桃ボンボン,美酢ソーダ（ザクロ、パイン、マスカット、オレンジ、マンゴー）","550,550,462,462,462,1078,1078,528,528,583,638,638,528,528,462,462,462,462,462,462,462,385,385,385",大阪府大阪市北区曽根崎２-10-15 曽根崎センタービル4F,韓国屋台酒場　韓ラブ -LOVE-　梅田店,050-5499-6264,https://www.hotpepper.jp/strJ003411787/
"生ビール,シャンディガフ／マッコリビア,プレーンハイボール,コークハイ／ジンジャーハイ,美酢（ミチョ）,カラマンシーハイ,ジョウンディ,チャスミル,マッコリ　プレーン　グラス,桃マッコリ　グラス,バナナマッコリ　グラス,マスカットマッコリ　グラス,プレーン/レモン/キウイ/ベリー/グレープフルーツ/オレンジ/いちご/マンゴー,美酢サワー,レモン/キウイ/ミックスベリー/グレープフルーツ/りんご/オレンジ/マンゴー,追いサワー,カシスソーダ,カシスオレンジ,カシスミルク,ピーチフィズ,ファジーネーブル,ピーチミルク,ウーロン茶/オレンジジュース/コカ・コーラ/ジンジャーエール,美酢ソーダ,ヘテ梨ジュース,ヘテすりおろし桃ジュース,ヘテポンポンぶどうジュース,セクセクオレンジ,チルソンサイダー,ミルキス,チーズミルクティー,チーズいちごミルク,チーズ抹茶ミルク,マカフラッペミルクティー,マカフラッペいちごミルク,マカフラッペ抹茶ミルク,ダルゴナコーヒー,ダルゴナいちごミルク,ダルゴナ抹茶ミルク","528,495,495,528,528,528,858,858,440,495,495,495,418,528,528,418,495,495,495,495,495,495,352,407,418,418,418,418,418,418,858,858,858,924,924,924,715,715,715",大阪府大阪市北区堂山町６－３,チーズ×チキン　ペゴパヨ　梅田東通り店,050-5453-4570,https://www.hotpepper.jp/strJ001261077/
"生ビール,レッドアイ,シャンディガフ,ディーゼル,ジントニック,ジンバック,ジンフィズ,ギムレット,ラムコーク,ラムジンジャー,ラムバック,モスコミュール,スクリュードライバー,ブルドッグ,ウォッカトニック,カミカゼ,セックスオンザビーチ,メキシコーク,テキーラサンライズ,ショットガン,コークハイ,ロングアイランドアイスティー,カシス,カルーア,カンパリ,ヨギー,マリブ,フランポワーズ,ピーチ,ボルス メロン,パライソ,コアントロー,パッソア,白ワイン,赤ワイン,オペレーター,カーディナル,キール,キティ,ハイボール,ジンジャーハイボール,キジムナー,島サンライズ,芋焼酎,麦焼酎,日本酒,梅酒,ウーロン茶,コーラ,ジンジャエール,オレンジジュース,パインジュース,グレープフルーツ,カルピス","550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,660,770,550,550,550,550,880,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550,550",大阪府大阪市北区曽根崎１-7-13 レイソル曽根崎ビル 5階,貸切＆完全個室　肉バル×食べ飲み放題　イタリアンDining　face　大阪　東梅田店,050-5281-5590,https://www.hotpepper.jp/strJ001135024/
"サングリア（赤）,サングリア（白）,キティサングリア（赤サングリア+ジンジャーエール）,スプリッツァサングリア（白サングリア+ソーダ）,カステル・ロック・カヴァ／セントノーレ (G),バッカネラ／ロダレ　ルージュ／バロンキンズモア カベルネソーヴィニヨン／アバダルレセルバ3.9（G）,ソプラノ／ロダレ　ブラン／バロンキンズモア　リセルヴァソーヴィニインブラン／アバダルピかポル (G),カシスオレンジ／ファジーネーブル／キティetc.,アサヒ スーパードライ／シャンディガフ／フルーツビア3種,アサヒ　ドライゼロ（ノンアルコールビール）,紀土-KID- 純米酒 （和歌山）／八海山（新潟）／播州一献（兵庫）,もぎたて梅酒／柚子梅酒／鶴梅　完熟にごり梅酒,【 麦 】/中々/兼八など,【 芋 】金黒／富乃宝山,ウーロン茶/コカ・コーラ/ジンジャーエール/オレンジジュース/グレープフルーツジュース,コーヒー／紅茶","770,770,770,770,770～,770～,770～,715～,770,715,715～,660～,715～,715～,550～,550～",大阪府大阪市北区角田町8-47 阪急グランドビル32番街28F,日本料理＆SKY BAR　ちょうつがひ,06-6131-2242,https://www.hotpepper.jp/strJ001000918/
"【日本酒】国稀　純米,【焼酎】インカの目覚め,クラフトラム　マンゴー,アサヒスーパードライ,ドライゼロ,レモンサワー,ライムサワー,生搾りレモンサワー,生搾りライムサワー,緑茶ハイ,ウーロンハイ,紅茶ハイ,カルピスサワー,白桃サワー,パインサワー,マンゴーサワー,ストロベリーサワー,パッションフルーツサワー,日本酒,月桂冠　生酒,京山水　特別純米,福岡　博多の森　純米,熊本　美少年　純米,黒霧島(芋),一番札（麦）,れんと(黒糖),金黒（芋）,金黒タンサン,ハイボール,コークハイボール,ジンジャーハイボール,エナジーハイボール,グラスワイン（赤）,グラスワイン（白）,カシスオレンジ,カルーアミルク,ジントニック,ジンバック,ジンコーク,ファジーネーブル,ピーチフィズ,オレンジブロッサム,ピーチウーロン,カシスウーロン,カシスソーダ,すっきり梅酒,紀州南高梅酒,コーラ,ジンジャーエール,オレンジジュース,カルピスソーダ,カルピスウォーター,エナジードリンク,ウーロン茶,緑茶","900,530,600,580,550,450,450,550,550,450,450,450,450,450,450,450,450,450,550,850,800,800,800,530,530,530,530,530,450,480,480,480,530,530,530,530,530,530,530,530,530,530,530,530,530,450,550,350,350,350,350,350,350,350,350",大阪府大阪市北区曽根崎２－１５－２０　SWINGうめだ６階,個室海鮮居酒屋　石狩漁場　梅田お初天神店,050-5828-9372,https://www.hotpepper.jp/strJ001001571/
"5 SENSES 3 BEAUTIES 五感で感じる三大美女カクテル 858円～,BIRTHTONE COCKTAIL 12種類の誕生石カクテル 各,BIRTH FLOWER 12種類の誕生花ノンアルコールカクテル 各,INFUSED COCKTAIL インフューズドカクテル 858円～,スペインより直送のCAVA カステルロック グラス,しあわせの青い泡 ラ・ヴェーグ・ブルー グラス,スパークリングワイン グラス858円～,赤ワイン グラス748円～,白ワイン グラス748円～,生ビール＆ビールカクテル 各,シャルドネハイボール,ハイボール＆ウィスキー 638円～,スタンダードカクテル 各,ワインカクテル 各,ソフトドリンク 各,ハーブティー 各,カフェ 605円～","858円,858円,858円,858円,858円,968円,858円,748円,748円,748円,各748円,628円,748円,814円,583円,605円,605円",大阪府大阪市北区角田町8-1大阪梅田ツインタワーズ・ノース15階,sky dining & bar　BLUE BIRD　ブルーバード 大阪梅田ツインタワーズ・ノース店,050-5828-7031,https://www.hotpepper.jp/strJ000951865/
"≪芋≫　金黒　,≪芋≫　黒霧島／海　各種,≪芋≫　一刻者,≪芋≫　三岳,≪芋≫　富乃宝山,≪麦≫　一番札,≪麦≫　閻魔,≪黒糖≫　れんと,≪米≫　白岳　しろ,≪泡盛≫　残波　ブラック,≪芋≫　金黒,≪芋≫　黒霧島,≪麦≫　一番札,≪黒糖≫　れんと,≪泡盛≫　残波　ブラック,氷,ウーロン茶／アイスグリーンティー／ソーダ　各種,グレープフルーツジュース,梅干し (1ヶ)／カットレモン (4ヶ)　各種,生ビール　アサヒスーパードライ　【ピルスナー】,生ビール　アサヒスーパードライ　【ジョッキ（400ml）】,瓶ビール　スーパードライ　【小瓶】,瓶ビール　キリン 一番搾り　【小瓶】,瓶ビール　サッポロ　エビス　【小瓶】,シャンディガフ,ノンアルコールビール　【小瓶】,ウーロンハイ／赤玉パンチ／カルピスサワー　各種,緑茶ハイ／紅茶ハイ　各種,柚子みつサワー／鹿児島県徳之島産 島みかんサワー／国産シャインマスカットサワー　各種,小柳津清一商店の玄米抹茶ハイ／梅干サワー／生グレープフルーツサワー／生キウイサワー　各種,≪レモンサワー≫,≪おかわりサワー≫,ジントニック／ジンバック/モスコミュール/ウォッカトニック/ウォッカコーラ　各種,≪カシス≫,ピーチウーロン／ファジーネーブル／モヒート　各種,≪ディタ≫,すっきりおいしい梅酒／紀州の梅酒　各種,蜂蜜梅酒,柚子梅酒,温州みかんのお酒／りんごのお酒　各種,静岡産 白いちごのお酒,≪本醸造　辛口≫　一ノ蔵,≪特別純米≫　極上　吉乃川,≪大吟醸≫　ひやしぼり（ワイングラスで提供）,≪本醸造≫　八海山,≪清酒≫　獺祭　純米大吟醸　朝日（ワイングラスで提供）,≪清酒≫　白雪　（冷酒・熱燗）(徳利),≪清酒≫　獺祭　純米大吟醸45(ボトル),≪ハウスワイン（赤・白）≫　J.P.シェネ　カベルネ・ソーヴィニヨン／J.P.シェネ　シャルドネ(各種ボトル),≪赤≫　ロダレ　カベルネ・ソーヴィニヨン／≪白≫　ムレダ・オーガニックシャルドネ(ボトル),≪赤≫　サンタ・クリスティーナ　ファットリア・レ・マエストレッレ(ボトル),ジャン・クロード・マス　ヴィオニエ　レゼルヴ,≪スパークリング≫　エスパス・オブ・リマリ・ブリュット・スペシャル(ボトル),サングリア,≪スコッチ≫　バランタイン　ファイネスト,≪バーボン≫　ジャックダニエル　ブラック,≪スコッチ≫　ジョニーウォーカー　ブラックラベル12年,≪スコッチ≫　メーカーズマーク,ニッカセッション-奏楽- 700ml,ブラックニッカハイボール／タカラ焼酎ハイボール／電気ブランハイボール　各種,ジンジャーハイボール／コーラハイボール　各種,大吟醸ハイボール,柚子みつハイボール／鹿児島県徳之島産　島みかんハイボール／国産シャインマスカットハイボール　各種,生キウイハイボール／小柳津清一商店の玄米抹茶ハイボール,バランタインハイボール,ジャックダニエルハイボール,角ハイボール,ジョニ黒ハイボール,メーカーズクラフトハイボール,ニッカセッション -奏楽-　ハイボール,ノンアルコールハイボール,翠ジンソーダ,柚子みつ玄米抹茶／ダブルシトラスカッシュ／フルーツグリーンティ－／ブラックティーソーダ　各種,徳之島シークニンスカッシュ／シャイン・ネーブル／美ら海ソルティトマトオレンジ　各種,ウーロン茶／アイスグリーンティー／ジンジャーエール／コーラ　各種,オレンジジュース,グレープフルーツジュース／カルピスソーダ　各種,小柳津清一商店のアイス玄米グリーンティー","583,638,649,682,748,594,638,594,638,638,4125,4235,4125,3905,4235,220,440,550,121,649,759,594,594,616,671,539,-,605,616,649,-,407,627,-,682,-,-,627,627,649,726,-,-,759,-,1023,550,4840,-,3740,4290,4840,3850,-,-,-,-,-,-,-,583,594,594,627,616,649,649,836,858,869,506,594,517,517,440,506,506,517",大阪府大阪市北区小松原町1-10　梅田パルライフ 8F,全席個室 楽蔵うたげ 梅田店,050-5831-0200,https://www.hotpepper.jp/strJ000711720/
"角ハイボール,トリスハイボール,マス男さん角ハイ,マス男さんトリハイ,「名物」勝男トリハイ,しょうがレモントリハイ,コーラトリハイ,ジンジャートリハイ,カルピストリハイ,ゆずトリハイ,ゴールデントリハイ,「知多」風香るハイボール,レモンサワー,たっぷり果肉レモンサワー,カルピスサワー,ゆずサワー,かぼすサワー,白桃サワー,男前梅サワー,ゴールデンサワー,トマトサワー,緑茶ハイ,ウーロンハイ,サントリー ザ・プレミアムモルツ 中,サントリー ザ・プレミアムモルツ お得ジョッキ,麦焼酎,芋焼酎,一合,カシスソーダ,カシスオレンジ,マンゴージンジャー,マンゴーオレンジ,シャンディ・ガフ,ワインロック（赤）,ワインロック（白）,紀州産南高梅酒（ロック・ソーダ割り）,ぽってり桃酒,ぽってりみかん酒,ぽってりマンゴー酒,ソウルマッコリ　グラス（150ml）,ソウルマッコリ　ボトル（1000ml）,ほどよい“優”ホワイトサワー,ほどよい“優”トロピカルピーチ,ほどよい“優”ファジーネーブル,ほどよい“優”沖縄風サワー,オールフリー,ウーロン茶,緑茶,コーラ,ジンジャーエール,オレンジジュース,かぼすソーダ,カルピス,リアルゴールド","220,165,418,308,275,328,328,328,328,328,363,328,328,372,341,341,341,341,341,363,363,385,385,198,286,385,385,385,438,438,438,438,438,385,385,385,438,438,438,385,1628,330,330,330,330,308,165,165,165,165,165,165,165,198",大阪府大阪市北区曽根崎２－７－１３,お初天神応援団　勝男,050-5452-6150,https://www.hotpepper.jp/strJ001259280/
